"file path",copyright
vscode-main-1.zip/vscode-main/src/vs/workbench/services/extensions/common/polyfillNestedWorker.protocol.ts,"Copyright (c) Microsoft Corporation. All rights reserved. Licensed under the MIT License. See License.txt in the project root for license information."
vscode-main-1.zip/vscode-main/src/vs/workbench/services/extensions/common/proxyIdentifier.ts,"Copyright (c) Microsoft Corporation. All rights reserved. Licensed under the MIT License. See License.txt in the project root for license information."
vscode-main-1.zip/vscode-main/src/vs/workbench/services/extensions/common/extensionStorageMigration.ts,"Copyright (c) Microsoft Corporation. All rights reserved. Licensed under the MIT License. See License.txt in the project root for license information."
vscode-main-1.zip/vscode-main/extensions/json/build/update-grammars.js,"Copyright (c) Microsoft Corporation. All rights reserved. Licensed under the MIT License. See License.txt in the project root for license information."
vscode-main-1.zip/vscode-main/src/vs/workbench/services/extensions/common/abstractExtensionService.ts,"Copyright (c) Microsoft Corporation. All rights reserved. Licensed under the MIT License. See License.txt in the project root for license information."
vscode-main-1.zip/vscode-main/extensions/lua/cgmanifest.json,"Copyright (c) sumneko-lua.tmbundle project authors"","
vscode-main-1.zip/vscode-main/src/vs/workbench/services/extensions/common/extensionDevOptions.ts,"Copyright (c) Microsoft Corporation. All rights reserved. Licensed under the MIT License. See License.txt in the project root for license information."
vscode-main-1.zip/vscode-main/src/vs/workbench/services/extensions/common/extHostCustomers.ts,"Copyright (c) Microsoft Corporation. All rights reserved. Licensed under the MIT License. See License.txt in the project root for license information."
vscode-main-1.zip/vscode-main/src/vs/workbench/services/extensions/common/extensionManifestPropertiesService.ts,"Copyright (c) Microsoft Corporation. All rights reserved. Licensed under the MIT License. See License.txt in the project root for license information."
vscode-main-1.zip/vscode-main/src/vs/workbench/services/extensions/common/extensionHostProxy.ts,"Copyright (c) Microsoft Corporation. All rights reserved. Licensed under the MIT License. See License.txt in the project root for license information."
vscode-main-1.zip/vscode-main/src/vs/workbench/services/extensions/common/extensionHostEnv.ts,"Copyright (c) Microsoft Corporation. All rights reserved. Licensed under the MIT License. See License.txt in the project root for license information."
vscode-main-1.zip/vscode-main/src/vs/workbench/services/extensions/common/extensionRunningLocationTracker.ts,"Copyright (c) Microsoft Corporation. All rights reserved. Licensed under the MIT License. See License.txt in the project root for license information."
vscode-main-1.zip/vscode-main/src/vs/workbench/services/extensions/common/extensionsRegistry.ts,"Copyright (c) Microsoft Corporation. All rights reserved. Licensed under the MIT License. See License.txt in the project root for license information."
vscode-main-1.zip/vscode-main/src/vs/workbench/services/extensions/common/extensionHostManager.ts,"Copyright (c) Microsoft Corporation. All rights reserved. Licensed under the MIT License. See License.txt in the project root for license information."
vscode-main-1.zip/vscode-main/src/vs/workbench/services/extensions/common/extensionsApiProposals.ts,"Copyright (c) Microsoft Corporation. All rights reserved. Licensed under the MIT License. See License.txt in the project root for license information."
vscode-main-1.zip/vscode-main/src/vs/workbench/services/extensions/common/remoteExtensionHost.ts,"Copyright (c) Microsoft Corporation. All rights reserved. Licensed under the MIT License. See License.txt in the project root for license information."
vscode-main-1.zip/vscode-main/src/vs/workbench/services/extensions/common/extensionRunningLocation.ts,"Copyright (c) Microsoft Corporation. All rights reserved. Licensed under the MIT License. See License.txt in the project root for license information."
vscode-main-1.zip/vscode-main/src/vs/workbench/services/extensions/common/extensionHostProtocol.ts,"Copyright (c) Microsoft Corporation. All rights reserved. Licensed under the MIT License. See License.txt in the project root for license information."
vscode-main-1.zip/vscode-main/src/vs/workbench/services/extensions/common/workspaceContains.ts,"Copyright (c) Microsoft Corporation. All rights reserved. Licensed under the MIT License. See License.txt in the project root for license information."
vscode-main-1.zip/vscode-main/src/vs/workbench/services/extensions/common/rpcProtocol.ts,"Copyright (c) Microsoft Corporation. All rights reserved. Licensed under the MIT License. See License.txt in the project root for license information."
